claim_id,meeting_date,quantifier,minutes_sentence
20200129-01,2020-01-29,some,"With respect to the relationship between monetary policy and financial stability, some participants noted that evidence regarding the link between the policy stance and elevated financial vulnerabilities was limited, with a couple of participants further observing that there were not many episodes of persistently low interest rates."
20200129-02,2020-01-29,a number of,"A number of participants judged that, under some circumstances, low policy rates might help foster financial stability provided they are needed to support strong economic conditions and price stability."
20200129-03,2020-01-29,some,"Some participants remarked, however, that keeping policy rates low to achieve both of the Committee’s dual-mandate objectives may contribute to a buildup of financial vulnerabilities, especially at times when the economy is at or above full employment, a development that could pose future risks to the economy and to the ability of the Committee to achieve its dual mandate."
20200129-04,2020-01-29,a few,A few participants commented that this is especially the case when addressing risks associated with structural features such as the current low level of neutral interest rates.
20200129-05,2020-01-29,a number of,"A number of participants noted that countercyclical macroprudential tools, such as the countercyclical capital buffer, could be used to address cyclical financial stability risks."
20200129-06,2020-01-29,various,"However, various participants noted that while these tools could be deployed proactively to lean against the buildup of financial vulnerabilities, they have some limitations in the context of the U.S. financial system, where the few available tools are, for the most part, not designed to address vulnerabilities outside the banking sector."
20200129-07,2020-01-29,many,"Recognizing these limitations, many participants remarked that the Committee should not rule out the possibility of adjusting the stance of monetary policy to mitigate financial stability risks, particularly when those risks have important implications for the economic outlook and when macroprudential tools had been or were likely to be ineffective at mitigating those risks."
20200129-08,2020-01-29,many,"Nevertheless, many participants noted that the current knowledge of the interactions between the stance of monetary policy and financial vulnerabilities is too imprecise to warrant systematically adjusting monetary policy in response to the evolution of financial stability risks."
20200129-09,2020-01-29,several,"Several participants observed that the monetary policy measures needed to curb financial stability risks could be quite large, and the resulting effects on employment and inflation could place a high hurdle for such measures."
20200129-10,2020-01-29,some,"Some participants remarked that, because financial stability risks are a consideration for achieving the Committee’s dual mandate, a clear communications strategy would be needed to convey the Committee’s assessments of financial vulnerabilities and their potential implications for the monetary policy outlook."
20200129-11,2020-01-29,several,Several participants noted that a communications strategy could include the possible use of financial instability escape clauses to help explain the rationale for policy actions when a buildup of financial vulnerabilities poses risks to the achievement of the Committee’s goals.
20200129-12,2020-01-29,most,Most participants expressed concern that introducing a symmetric inflation range around the 2 percent objective following an extended period of inflation mostly running somewhat below 2 percent could be misperceived as a signal that the Committee was comfortable with continued misses below its symmetric inflation objective.
20200129-13,2020-01-29,many,Many participants agreed that an uncertainty range could be misinterpreted as an indifference range and hence as a lack of commitment by the Committee to its symmetric 2 percent inflation objective.
20200129-14,2020-01-29,some,Some participants suggested that it was not clear that introducing a range would help much in achieving the Committee’s inflation objective; they noted that introducing a range could make that objective less clear to the public.
