provision_id,mlc_title,mlc_regulation,mlc_standard,cluster_id,band_id,short_label
P001,1,Regulation 1.1,Standard A1.1 paragraph 1,C1,B01,Minimum age of 16
P002,1,Regulation 1.1,Standard A1.1 paragraph 2,C1,B01,Night work restriction under 18
P003,1,Regulation 1.1,Standard A1.1 paragraph 4,C1,B02,Hazardous work prohibition under 18
P004,1,Regulation 1.2,Standard A1.2 paragraph 1,C1,B02,Valid medical certificate required
P005,1,Regulation 1.2,Standard A1.2 paragraph 4,C1,B03,Medical certificate validity limits
P006,1,Regulation 1.3,Standard A1.3 paragraph 1,C1,B03,Training and qualification
P007,1,Regulation 1.4,Standard A1.4 paragraph 2,C1,B04,Recruitment service regulation
P008,1,Regulation 1.4,Standard A1.4 paragraph 5,C1,B04,Recruitment fee prohibition
P009,2,Regulation 2.1,Standard A2.1 paragraph 1,C1,B05,Written seafarer employment agreement
P010,2,Regulation 2.1,Standard A2.1 paragraph 4,C1,B05,Mandatory agreement particulars
P011,2,Regulation 2.1,Standard A2.1 paragraph 7,C1,B06,Captivity continuation protection
P012,2,Regulation 2.2,Standard A2.2 paragraph 1,C2,B07,Regular full wage payment
P013,2,Regulation 2.2,Standard A2.2 paragraph 2,C2,B07,Monthly wage account
P014,2,Regulation 2.2,Standard A2.2 paragraphs 3 and 4,C2,B08,Wage allotment and transfer
P015,2,Regulation 2.3,Standard A2.3 paragraph 5,C2,B08,Minimum rest 10 hours and 77 hours
P016,2,Regulation 2.3,Standard A2.3 paragraph 10,C2,B09,Posted shipboard work schedule
P017,2,Regulation 2.3,Standard A2.3 paragraph 12,C2,B09,Daily work and rest records
P018,2,Regulation 2.4,Standard A2.4 paragraph 2,C2,B10,Paid annual leave
P019,2,Regulation 2.5,Standard A2.5.1 paragraph 1,C2,B10,Repatriation entitlement triggers
P020,2,Regulation 2.5,Standard A2.5.1 paragraph 2,C2,B11,Maximum service before repatriation
P021,2,Regulation 2.5,Standard A2.5.2 paragraph 1,C2,B12,Repatriation financial security
P022,3,Regulation 3.1,Standard A3.1 paragraph 6,C3,B13,Accommodation headroom
P023,3,Regulation 3.1,Standard A3.1 paragraphs 9 and 10,C3,B13,Sleeping room standards
P024,3,Regulation 3.1,Standard A3.1 paragraph 17,C3,B14,Accommodation heating
P025,3,Regulation 3.1,Standard A3.1 paragraph 7,C3,B14,Ventilation and air conditioning
P026,3,Regulation 3.2,Standard A3.2 paragraph 3,C3,B15,Food and water standards
P027,3,Regulation 3.2,Standard A3.2 paragraphs 5 to 7,C3,B15,Qualified ships cook
P028,4,Regulation 4.1,Standard A4.1 paragraph 1,C3,B16,Medical care on board and ashore
P029,4,Regulation 4.1,Standard A4.1 paragraph 2,C3,B16,Medical report form
P030,4,Regulation 4.2,Standard A4.2.1 paragraph 1,C3,B17,Shipowner sickness injury liability
P031,4,Regulation 4.3,Standard A4.3 paragraph 1,C3,B18,Occupational safety and health
P032,4,Regulation 4.4,Standard A4.4 paragraph 1,C4,B19,Shore welfare facilities
P033,4,Regulation 4.5,Standard A4.5 paragraph 1,C4,B19,Social security protection
P034,5,Regulation 5.1.1,Standard A5.1.1 paragraph 1,C4,B20,Flag state inspection system
P035,5,Regulation 5.1.3,Standard A5.1.3 paragraph 1,C4,B20,Certificate threshold 500 GT
P036,5,Regulation 5.1.3,Standard A5.1.3 paragraph 4,C4,B21,Certificate validity of five years
P037,5,Regulation 5.1.3,Standard A5.1.3 paragraph 10,C4,B21,DMLC Part I national requirements
P038,5,Regulation 5.1.4,Standard A5.1.4 paragraph 13,C4,B22,Published inspection statistics
P039,5,Regulation 5.1.5,Standard A5.1.5 paragraph 2,C4,B22,On-board complaint procedure
P040,5,Regulation 5.2.1,Standard A5.2.1 paragraph 1,C4,B23,Port state control inspection
P041,5,Regulation 5.2.1,Standard A5.2.1 paragraph 4,C4,B23,No more favourable treatment
P042,5,Regulation 5.2.2,Standard A5.2.2 paragraph 1,C4,B24,Onshore complaint handling
