brand_as_reported,brand_family
Apple,Apple
Ashley,Ashley Furniture
Ashley Furniture,Ashley Furniture
Bissell,Bissell
Bosch,Bosch
Breville,Breville
Conair,Conair
Cuisinart,Cuisinart
Delta,Delta
Eufy,Anker
Fisher Price,Fisher-Price
Fisher price,Fisher-Price
Fisher-Price,Fisher-Price
Frigidaire,Frigidaire
Frigidaire Gallery,Frigidaire
GE,GE Appliances
GE APPLIANCES,GE Appliances
GE Appliances,GE Appliances
GE Cafe,GE Appliances
Ge,GE Appliances
General Electric,GE Appliances
Google,Google / Fitbit
Google Pixel,Google / Fitbit
Graco,Graco
Hamilton Beach,Hamilton Beach
Hamilton beach,Hamilton Beach
IKEA,IKEA
KENMORE ELITE,Kenmore
Kenmore,Kenmore
Kenmore Elite,Kenmore
Kidde,Kidde
Kitchen Aid,KitchenAid
KitchenAid,KitchenAid
LG,LG Electronics
LG electronics,LG Electronics
MIDEA,Midea
Mattel,Fisher-Price
Midea,Midea
NINJA,Ninja / SharkNinja
Ninja,Ninja / SharkNinja
PYREX,Instant Brands
Pyrex,Instant Brands
Ryobi,Ryobi
Samsung,Samsung
Shark,Ninja / SharkNinja
WHIRLPOOL,Whirlpool
Whirlpool,Whirlpool
lg,LG Electronics
samsung,Samsung
shark,Ninja / SharkNinja
