COUNTY CONNECT TRANSIT AUTHORITY -- FY2026 SERVICE CHANGE PUBLIC COMMENT LOG
(verbatim excerpts from three public hearings and the online portal.
 Format: comment_id | channel | topic | comment. Every comment must be
 addressed in the analysis with a disposition.)

PC-01 | hearing-monument | R-101 | "Cutting the Monument Blvd bus (R-101) from every 15 to every 22 minutes will strand the people on this corridor who have no car. This is the most diverse part of the county."
PC-02 | online | R-150 | "Why are you adding a brand new Bailey Rd route (R-150) while cutting five neighborhood feeders at the same time? Who exactly benefits from the new one?"
PC-03 | hearing-pittsburg | R-108 | "R-108 to Bay Point is how my mother gets to dialysis. Thirty fewer trips a day is not a minor change to us."
PC-04 | online | R-120,R-122 | "The Oak Grove and Detroit Ave feeders (R-120, R-122) are small but they are the only service in those blocks. You call them minor because each is under your 25% line, but together with everything else this is a huge hit."
PC-05 | hearing-monument | R-115 | "Please keep Saturday Shoppers (R-115). Saturday is the only day I can get groceries without a car."
PC-06 | online | R-150 | "I support the new Bailey Rd service. The growth area out there has nothing right now."
PC-07 | hearing-pittsburg | method | "Your own numbers should show whether minority neighborhoods take more of these cuts than everyone else. Show the math, not just a conclusion."
PC-08 | online | R-118 | "The R-118 realignment moves the route three blocks off Ygnacio Valley Rd. For the senior housing that is the difference between a 4-minute and a 14-minute walk."
PC-09 | online | R-140,R-142 | "Two of the routes you listed (Vine Hill, Bates Ave) barely have any houses near them. Don't let weird data on those routes hide the impact on the real neighborhoods."
PC-10 | hearing-monument | R-130 | "The schedule on the trip planner for Solano Way (R-130) does not match what staff presented at the hearing. Which number is real?"
PC-11 | online | language | "Half the riders on the Monument corridor speak Spanish first. Were any of these hearings or notices offered in Spanish?"
PC-12 | hearing-pittsburg | R-104 | "R-104 Clayton Rd Express is already packed at rush hour. Cutting it will just leave people at the curb."
PC-13 | online | fares | "Instead of cutting service, why not just raise fares by a quarter and keep the buses running?"
PC-14 | online | R-112 | "R-112 Concord Industrial Park is how the warehouse shift workers get to work at 5am. A span cut means they lose the first trip and the job."
PC-15 | hearing-monument | amenities | "The bus stops on Monument have no shelters. Fix the shelters before you cut the buses."
PC-16 | online | R-124,R-126,R-128 | "Willow Pass, Meadow Ln and North Concord are each a few minutes longer headway but my whole week depends on chaining them together. Look at them as a set."
PC-17 | hearing-pittsburg | process | "Most of us only heard about these cuts last week. Two weeks is not enough notice for something this big."
PC-18 | online | R-102 | "R-102 Market-Galindo is the crosstown that connects two low-income neighborhoods to the hospital. Please reconsider."
PC-19 | online | seniors | "I am 78 and do not drive. Every one of these cuts adds a transfer and a longer wait for older riders like me."
PC-20 | hearing-monument | R-150 | "If the new Bailey Rd route mostly serves a newer, wealthier area, adding it does not make up for cutting service in the diverse older neighborhoods."
PC-21 | online | mitigation | "If you must cut, at least protect the first and last trips and the lifeline midday runs that disabled and senior riders depend on."
PC-22 | online | R-106 | "R-106 Treat Blvd Connector is my kids' way to school. A frequency cut will make them late or miss class."
PC-23 | hearing-pittsburg | R-108,R-101 | "Between R-101 and R-108 my neighborhood is losing service on both ends. Counting them separately misses how it stacks up on us."
PC-24 | online | bike | "Will the remaining buses still have bike racks? That matters for my commute."
PC-25 | online | transparency | "Please publish the full route-by-route people-trip numbers and the disparate-impact calculation, not just a yes/no in a press release."
