source_id,url,source_title,publisher,source_category,expected_use,source_quality
S001,https://www.defense.gov/News/News-Stories/Article/Article/4227082/historically-successful-strike-on-iranian-nuclear-site-was-15-years-in-the-maki/,Defense Department account of Operation Midnight Hammer,U.S. Department of Defense,official_us,strike_details,substantive_article_or_document
S002,https://www.congress.gov/crs_external_products/IN/PDF/IN12571/IN12571.1.pdf,CRS In Focus on U.S. strikes on nuclear sites in Iran,Congressional Research Service,official_us,legal_policy_context,primary_document_pdf
S003,https://www.iaea.org/sites/default/files/25/06/gov2025-38.pdf,IAEA Board resolution on Iran safeguards,IAEA,international_org,nuclear_context,primary_document_pdf
S004,https://www.gov.uk/government/speeches/npt-safeguards-agreement-with-iran-resolution-to-the-iaea-board-of-governors-june-2025,Quad statement on Iran safeguards resolution,GOV.UK,official_e3,nuclear_context,substantive_article_or_document
S005,https://www.ungeneva.org/en/news-media/news/2025/06/107661/us-strikes-irans-nuclear-sites-marks-perilous-turn-diplomacy-must,UN Geneva report on Security Council meeting,United Nations,international_org,diplomatic_context,substantive_article_or_document
S006,https://press.un.org/en/content/security-council,UN Security Council press releases index,United Nations,international_org,diplomatic_context,substantive_article_or_document
S007,https://www.iaea.org/newscenter,IAEA news center,IAEA,international_org,nuclear_safety,discovery_or_index
S008,https://www.iaea.org/newscenter/pressreleases,IAEA press releases,IAEA,international_org,nuclear_safety,discovery_or_index
S009,https://www.whitehouse.gov/briefings-statements/,White House briefings and statements,White House,official_us,official_position,discovery_or_index
S010,https://www.state.gov/press-releases/,State Department press releases,U.S. Department of State,official_us,official_position,discovery_or_index
S011,https://www.defense.gov/News/Transcripts/,Defense Department transcripts,U.S. Department of Defense,official_us,official_position,substantive_article_or_document
S012,https://www.centcom.mil/MEDIA/PRESS-RELEASES/,CENTCOM press releases,U.S. Central Command,official_us,official_position,discovery_or_index
S013,https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22search%22%3A%22Iran%20June%202025%20strikes%22%7D,Congress legislation search on Iran strikes,Congress.gov,official_us,domestic_politics,discovery_or_index
S014,https://www.dhs.gov/news-releases/press-releases,DHS press releases,U.S. Department of Homeland Security,official_us,domestic_security_context,discovery_or_index
S015,https://www.mofa.gov.qa/en/statements,Qatar foreign ministry statements,Qatar Ministry of Foreign Affairs,official_regional,regional_reaction,discovery_or_index
S016,https://www.mofa.gov.sa/en/statements,Saudi foreign ministry statements,Saudi Ministry of Foreign Affairs,official_regional,regional_reaction,discovery_or_index
S017,https://www.mofa.gov.ae/en/mediahub/news,UAE foreign ministry news,UAE Ministry of Foreign Affairs,official_regional,regional_reaction,substantive_article_or_document
S018,https://www.fm.gov.om/news/,Oman foreign ministry news,Oman Foreign Ministry,official_regional,regional_reaction,substantive_article_or_document
S019,https://www.eeas.europa.eu/eeas/press-material_en,EU external action press materials,European External Action Service,international_org,regional_reaction,substantive_article_or_document
S020,https://www.consilium.europa.eu/en/press/press-releases/,European Council press releases,European Council,international_org,regional_reaction,discovery_or_index
S021,https://www.reuters.com/business/aerospace-defense/us-bombing-iran-started-with-fake-out-2025-06-22/,Reuters account of U.S. bombing fake-out,Reuters,wire_news,strike_details,substantive_article_or_document
S022,https://www.reuters.com/world/middle-east/iran-weighs-retaliation-against-us-strikes-nuclear-sites-2025-06-23/,Reuters on Iran missiles at U.S. base in Qatar,Reuters,wire_news,retaliation,substantive_article_or_document
S023,https://www.reuters.com/world/middle-east/israel-under-missile-attack-iran-says-all-options-open-after-us-strikes-2025-06-22/,Reuters on world awaiting Iranian response,Reuters,wire_news,regional_escalation,substantive_article_or_document
S024,https://www.reuters.com/world/middle-east/trump-announces-israel-iran-ceasefire-2025-06-23/,Reuters on ceasefire and intelligence assessment,Reuters,wire_news,ceasefire_damage_assessment,substantive_article_or_document
S025,https://www.reuters.com/world/us-strikes-may-have-set-back-iran-nuclear-program-only-months-sources-say-2025-06-24/,Reuters on months-long setback assessment,Reuters,wire_news,damage_assessment,substantive_article_or_document
S026,https://www.reuters.com/world/middle-east/iranian-nuclear-program-degraded-by-up-two-years-pentagon-says-2025-07-02/,Reuters on Pentagon two-year degradation claim,Reuters,wire_news,damage_assessment,substantive_article_or_document
S027,https://www.reuters.com/world/middle-east/un-security-council-meet-sunday-over-us-strikes-iran-2025-06-22/,Reuters on UN Security Council meeting,Reuters,wire_news,diplomatic_context,substantive_article_or_document
S028,https://www.reuters.com/world/china/iaea-board-declares-iran-breach-non-proliferation-duties-diplomats-say-2025-06-12/,Reuters on IAEA breach finding,Reuters,wire_news,nuclear_context,substantive_article_or_document
S029,https://www.reuters.com/site-search/?query=Trump%20Iran%20sanctions%20relief%20June%2027%202025,Reuters search on sanctions relief and later statements,Reuters,wire_news,post_strike_policy,discovery_or_index
S030,https://www.reuters.com/site-search/?query=World%20leaders%20react%20US%20attack%20Iran%20June%2022%202025,Reuters search on world leaders reaction,Reuters,wire_news,regional_reaction,discovery_or_index
S031,https://apnews.com/article/iran-fordo-us-strike-trump-israel-nuclear-sites-320a85327f94ed7496f09564261f3148,AP on U.S. bombardment of Iranian nuclear sites,Associated Press,wire_news,strike_details,substantive_article_or_document
S032,https://apnews.com/article/iran-trump-nuclear-sites-strikes-503eb17f991a8509604b4b3aaf93cb5c,AP on regime change comments after strikes,Associated Press,wire_news,official_position,substantive_article_or_document
S033,https://apnews.com/article/israel-iran-war-nuclear-talks-geneva-news-06-21-2025-a7b0cdaba28b5817467ccf712d214579,AP on U.S. entry into Israel-Iran war,Associated Press,wire_news,strike_details,substantive_article_or_document
S034,https://apnews.com/article/iran-b2-bombers-missouri-446725660815e45bb1b9a787a324e71f,AP on B-2 return to Missouri,Associated Press,wire_news,strike_details,substantive_article_or_document
S035,https://apnews.com/article/israel-iran-war-nuclear-trump-bomber-news-06-22-2025-c2baca52babe915e033ae175ce8b2687,AP on alarm after U.S. strikes,Associated Press,wire_news,regional_escalation,substantive_article_or_document
